cluster_order,cluster_id,cluster_type,cluster_id_new
1,cl10,inh,i7
2,cl13,inh,i8
3,cl14,inh,i9
4,cl18,inh,i10
5,cl22,inh,i11
6,cl3,inh,i1
7,cl4,inh,i2
8,cl5,inh,i3
9,cl7,inh,i5
10,cl8,inh,i4
11,cl9,inh,i6
12,cl1,exc,e1
13,cl12,glia,g2
14,cl15,glia,g3
15,cl19,glia,g4
16,cl6,glia,g1
17,cl11,outlier,o1
18,cl21,outlier,o2
19,cl24,outlier,o3
