"","x"
"A01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","2"
"A01_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","3"
"A02_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"A03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"A03_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"A04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","3"
"A04_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"A04_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"A05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"A05_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"A05_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","4"
"A06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","3"
"A06_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"A07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"A07_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"A07_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"A08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"A08_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","6"
"A08_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","4"
"A09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"A10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"A11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"A12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","2"
"A13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","3"
"A13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"A13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"A13_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"A14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","3"
"A14_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A14_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"A15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"A15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"A15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","3"
"A15_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"A16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"A16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"A16_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"A17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","3"
"A17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"A17_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"A17_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","7"
"A18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"A18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"A18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"A18_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A18_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","3"
"A19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"A19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"A19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","3"
"A19_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"A19_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","4"
"A20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"A20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"A20_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A20_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","4"
"A21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"A21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","7"
"A21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","3"
"A21_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"A21_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","4"
"A22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"A22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"A22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"A22_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"A23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"A23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"A23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"A23_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"A24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","3"
"A24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"A24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","3"
"A24_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"A24_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"B01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"B01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","4"
"B01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"B02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"B02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","3"
"B02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"B02_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"B02_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"B03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","3"
"B03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"B03_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"B03_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"B04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","2"
"B04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","4"
"B04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","2"
"B04_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","3"
"B04_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"B05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","2"
"B05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"B05_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"B05_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"B06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","2"
"B06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","2"
"B06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"B06_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"B06_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"B07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","4"
"B07_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"B07_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","2"
"B08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"B08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"B08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"B08_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"B09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"B09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"B09_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"B09_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"B10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"B10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","3"
"B10_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"B10_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","3"
"B11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","2"
"B11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"B11_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"B11_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","2"
"B11_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"B12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"B12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"B12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"B12_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"C01_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","2"
"C01_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"C02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"C02_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C02_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","2"
"C03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","6"
"C03_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C03_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"C04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"C04_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C04_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"C05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"C05_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C05_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"C06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"C06_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","2"
"C06_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","5"
"C07_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","2"
"C07_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","2"
"C08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","3"
"C08_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"C08_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos","3"
"C10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","2"
"C12_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"C13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","3"
"C13_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C13_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C13_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"C14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"C14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"C14_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C14_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C14_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","3"
"C15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"C15_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"C15_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C15_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","7"
"C16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"C16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","2"
"C16_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"C16_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C16_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"C17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C17_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"C17_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","3"
"C17_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","3"
"C18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"C18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","3"
"C18_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","2"
"C18_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C18_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","4"
"C19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"C19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"C19_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","5"
"C20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","3"
"C20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","5"
"C20_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C20_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"C21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C21_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C21_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","4"
"C21_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","4"
"C22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","4"
"C22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","3"
"C22_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C22_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","2"
"C22_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"C23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH6~MTG_L1_pos","4"
"C23_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","4"
"C23_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","2"
"C24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH5~MTG_L1_pos","5"
"C24_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH7~MTG_L1_pos","6"
"C24_BCH1_1NeuNP_H200.1030_MTG_layer_1~MTG_L1_pos","5"
"C24_BCH3_1NeuNP_H200.1025_MTG_Layer_1~MTG_L1_pos","5"
"D01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","2"
"D01_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","2"
"D02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"D02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","4"
"D02_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"D02_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"D02_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"D03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","3"
"D03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","4"
"D03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"D03_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"D03_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"D04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"D04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"D04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"D04_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"D04_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"D05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"D05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"D05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"D05_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"D05_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","4"
"D06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","3"
"D06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","2"
"D06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"D06_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"D07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","4"
"D07_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"D07_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"D08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"D08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"D08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","5"
"D08_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","3"
"D08_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"D09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","5"
"D09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"D09_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos","2"
"D09_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","4"
"D09_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
"D10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH6~MTG_L1_pos","4"
"D10_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH7~MTG_L1_pos","5"
"D10_1_Nuclei_NeuNP_H200_1030_MTG_layer1_BCH8~MTG_L1_pos","5"
"D10_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos","5"
