"","PC1_rot","PC2_rot","PC3_rot","PC4_rot","PC5_rot"
"A01_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",-0.0195078338312805,-0.00310360379734292,-0.00191238098054107,-0.00976763724063056,-0.0918699135661194
"A01_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos",-0.0293842900721631,0.0257890301170221,-0.00586546240472045,-0.0787220535895893,-0.011184717384195
"A02_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",0.0279591655450158,-0.0364335722274799,-0.00722253743188882,-0.00164991194688083,-0.00133538569521996
"A03_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",-0.0258232919496146,0.00381564334888887,-0.0096435117897245,0.0501653699497433,-0.0088909575858917
"A03_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",-0.00117090816879215,-5.09129194798952e-05,0.00262978675068126,0.0162014324670882,0.0112554978964571
"A04_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",-0.0445946676773935,0.00672164994136648,-0.00937025087031351,-0.04983013694486,0.0350400205021955
"A04_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",0.0339918554543999,-0.0376289952865553,0.00204686175137336,-0.000743384482920249,0.0029723635557376
"A04_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos",-0.03305258162962,0.0106368598112009,-0.0140616879941388,0.0401527326682281,0.0513396376942131
"A05_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",0.033477238364022,-0.0364887503828556,-0.0018699461869094,-0.0086462993444969,0.00594488127190335
"A05_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",0.0291043617416958,-0.033789008431572,-0.00500222333206852,0.00335225956734259,0.0109231458685134
"A05_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos",0.0288685088028085,-0.0338018104643515,-0.00440244996699785,-0.000192590713101098,0.00973728408500324
"A06_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",-0.0380247167526645,0.00535869793319622,-0.0054371346473157,-0.0317598192243008,0.0417185567121488
"A06_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",-0.0161720409301424,-0.00172825050316843,-0.00577240185729331,0.0605096189819885,-0.0418804909135229
"A07_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",0.0323803628174414,-0.0360416002857088,-0.00493081093165222,-0.00622714692885866,0.00670480780197839
"A07_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",0.0320576052131124,-0.0343143509386999,-0.00447697745694335,0.00517140575301223,-0.00258391561320523
"A07_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos",-0.0301322369027127,0.0152316960076486,-0.00184425156819139,0.058563480298753,0.0393666097564074
"A08_1_Nuclei_NeuNP_H200_1025_MTG_layer1_BCH9~MTG_L1_pos",-0.0228985634439061,0.0121978695088329,0.00381974452070805,0.0350315635166941,0.0173229710474553
"A08_BCH1_1NeuNP_H200.1025_MTG_layer_1~MTG_L1_pos",0.0197332811865507,0.0369731331261387,0.00268868466774605,-0.020999042942816,0.0221520691370108
"A08_BCH3_1NeuNP_H200.1030_MTG_Layer_1~MTG_L1_pos",0.0344513966804654,-0.0238855581160781,-0.00104746889099588,-0.00123335962887171,0.0130118116844613
